Date,High,Low,Open,Close,Volume,Return
2019-09-05,42.61,42.0,42.32,42.37,23092.71,0.11814744801512678
2019-09-06,42.38,41.2,41.94,42.05,24369.04,-0.7552513570922792
2019-09-09,43.5,42.2,42.3,42.6,23203.66,1.3079667063020217
2019-09-10,42.7,41.71,42.69,42.3,24196.0,-0.7042253521126862
2019-09-11,42.65,41.83,42.62,41.91,16633.37,-0.9219858156028438
2019-09-12,43.0,41.91,41.91,42.25,13747.24,0.8112622285850746
2019-09-16,42.65,41.98,42.26,42.36,14786.6,0.2603550295857904
2019-09-17,42.55,42.0,42.51,42.38,13539.49,0.04721435316337175
2019-09-18,44.37,42.22,42.22,43.97,39059.2,3.7517697026899333
2019-09-19,44.55,43.7,44.08,44.35,26810.42,0.86422560836934
2019-09-20,45.45,43.91,44.8,43.91,25536.88,-0.9921082299887418
2019-09-23,44.29,42.84,43.8,43.21,23811.98,-1.5941698929628711
2019-09-24,43.87,42.35,43.05,42.57,31122.3,-1.4811386253182124
2019-09-25,43.0,41.85,42.39,42.02,27114.57,-1.2919896640826822
2019-09-26,42.4,41.05,41.62,41.28,27115.56,-1.7610661589719245
2019-09-27,42.0,39.49,41.75,41.18,27585.78,-0.2422480620155043
2019-09-30,42.35,40.91,41.08,41.03,19466.71,-0.3642544924720714
2019-10-08,42.26,40.19,41.08,41.1,30756.23,0.17060687301975186
2019-10-09,42.05,40.45,41.14,41.77,25113.03,1.6301703163017045
2019-10-10,41.95,40.93,41.87,41.4,30949.16,-0.885803208044067
2019-10-11,42.2,41.41,41.47,41.64,19810.55,0.5797101449275477
2019-10-14,42.0,40.7,41.91,40.88,26267.93,-1.8251681075888482
2019-10-15,41.21,40.3,40.88,40.9,21375.07,0.04892367906066397
2019-10-16,41.0,39.87,41.0,40.03,23702.32,-2.1271393643031766
2019-10-17,40.99,39.91,40.37,40.1,26131.92,0.1748688483637295
2019-10-18,41.9,40.12,40.48,41.17,33006.3,2.668329177057349
2019-10-21,41.6,40.2,40.76,40.78,22992.7,-0.9472917172698603
2019-10-22,41.18,40.36,40.63,40.75,17719.49,-0.07356547327120877
2019-10-23,41.2,40.55,40.75,40.81,15800.62,0.147239263803689
2019-10-24,42.2,39.61,41.48,40.02,44104.34,-1.9358000490075966
2019-10-25,40.76,39.83,40.29,40.49,25526.66,1.1744127936031967
2019-10-28,42.49,40.29,40.3,42.26,34886.61,4.371449740676692
